date,income
2025-09-25,720
2025-09-26,680
2025-09-27,590
2025-09-28,540
2025-09-29,490
2025-09-30,650
2025-10-01,700
2025-10-02,680
2025-10-03,620
2025-10-04,560
2025-10-05,510
2025-10-06,470
2025-10-07,610
2025-10-08,650
2025-10-09,590
2025-10-10,540
2025-10-11,490
2025-10-12,450
2025-10-13,410
2025-10-14,550
2025-10-15,580
2025-10-16,520
2025-10-17,470
2025-10-18,430
2025-10-19,390
2025-10-20,360
2025-10-21,490
2025-10-22,520
2025-10-23,460
2025-10-24,410
2025-10-25,370
2025-10-26,340
2025-10-27,310
2025-10-28,430
2025-10-29,460
2025-10-30,400
2025-10-31,350
2025-11-01,320
2025-11-02,290
2025-11-03,260
